Gender,10th board,10th marks,12th board,12th marks,Stream,Cgpa,Internships(Y/N),Training(Y/N),Any Backlogs?,Innovative Project(Y/N),Communication level,Technical skills(Y/N),Coding Score,Aptitude Score,Hackathons Count,Certifications Count,Placement(Y/N)?
Male,CBSE,56.9,State,35.0,Information Technology,5.33,Yes,Yes,No,Yes,3,Yes,16,37,0,1,Placed
Female,CBSE,52.0,State,54.7,Information Technology,6.77,Yes,Yes,No,Yes,3,Yes,44,37,1,2,Placed
Female,CBSE,63.7,State,57.5,Electrical,8.59,No,Yes,No,Yes,3,No,69,74,0,0,Placed
Female,State,35.0,CBSE,39.8,Information Technology,4.2,No,Yes,No,Yes,3,No,29,21,1,1,Not Placed
Male,State,86.3,CBSE,71.3,Electrical,10.0,Yes,Yes,No,No,3,No,100,95,0,2,Placed
Male,ICSE,35.0,CBSE,35.0,Computer Science,3.85,Yes,Yes,No,Yes,4,Yes,39,43,1,1,Placed
Male,CBSE,35.0,CBSE,64.2,Civil,3.46,No,No,No,No,3,Yes,32,36,4,0,Not Placed
Female,State,82.3,State,56.0,Electrical,6.72,Yes,Yes,Yes,Yes,5,Yes,42,65,1,0,Placed
Female,ICSE,57.0,State,36.3,Computer Science,5.01,No,No,No,Yes,5,Yes,16,36,2,2,Placed
Female,ICSE,48.5,CBSE,69.2,Information Technology,5.1,Yes,Yes,Yes,Yes,5,Yes,37,55,2,0,Placed
Male,ICSE,43.6,CBSE,35.0,Computer Science,5.72,No,Yes,No,Yes,2,Yes,42,42,3,1,Placed
Female,State,46.4,CBSE,50.9,Civil,4.5,Yes,Yes,No,No,3,No,28,39,1,1,Not Placed
Female,Other,77.0,Other,55.2,Electronics,8.16,Yes,No,Yes,Yes,3,No,60,50,0,2,Placed
Male,CBSE,44.7,State,35.0,Mechanical,6.19,Yes,Yes,No,Yes,4,Yes,36,45,4,0,Placed
Male,State,35.0,ICSE,47.6,Computer Science,3.67,Yes,Yes,No,Yes,3,Yes,16,27,1,1,Placed
Male,CBSE,59.0,ICSE,70.5,Computer Science,6.83,Yes,No,Yes,No,2,Yes,52,45,0,1,Not Placed
Male,CBSE,35.0,State,41.9,Computer Science,3.67,No,Yes,No,No,3,Yes,5,22,3,0,Not Placed
Male,CBSE,35.0,State,36.2,Information Technology,3.32,No,Yes,No,Yes,1,Yes,4,6,0,2,Not Placed
Male,CBSE,72.9,CBSE,77.1,Electronics,7.29,Yes,Yes,Yes,No,4,No,85,52,1,2,Placed
Male,CBSE,35.0,State,35.0,Electrical,4.37,Yes,Yes,Yes,No,3,No,11,22,2,2,Not Placed
Female,CBSE,35.0,CBSE,35.0,Mechanical,3.0,Yes,No,No,Yes,4,Yes,2,26,2,0,Not Placed
Male,CBSE,70.7,ICSE,49.5,Information Technology,6.04,No,Yes,No,Yes,2,No,72,76,0,1,Placed
Male,Other,56.6,CBSE,35.0,Other,5.82,Yes,Yes,Yes,No,3,No,36,37,0,1,Not Placed
Male,CBSE,43.5,ICSE,51.9,Civil,5.39,No,Yes,No,Yes,3,Yes,51,32,3,1,Placed
Male,State,35.0,CBSE,59.3,Other,3.72,Yes,Yes,No,Yes,4,Yes,28,49,1,0,Placed
Female,CBSE,63.7,ICSE,49.7,Electronics,5.36,No,Yes,Yes,No,4,Yes,68,30,2,3,Placed
Male,Other,35.2,CBSE,35.7,Computer Science,3.93,Yes,Yes,Yes,Yes,4,Yes,33,27,1,3,Placed
Male,ICSE,71.9,State,60.8,Computer Science,9.12,No,Yes,No,Yes,3,Yes,74,66,2,1,Placed
Female,State,35.0,State,35.0,Civil,3.68,Yes,No,No,Yes,5,Yes,13,17,0,3,Not Placed
Male,State,60.0,CBSE,66.9,Computer Science,7.49,Yes,Yes,Yes,Yes,3,No,63,68,0,1,Placed
Female,CBSE,82.0,State,70.4,Information Technology,7.77,Yes,Yes,No,Yes,3,Yes,61,32,5,1,Placed
Male,Other,36.7,Other,44.7,Electronics,4.45,Yes,Yes,No,Yes,4,Yes,0,34,0,2,Placed
Male,ICSE,35.0,CBSE,35.0,Electronics,5.33,No,Yes,Yes,Yes,3,Yes,19,30,5,1,Placed
Female,ICSE,79.3,Other,59.2,Mechanical,8.59,Yes,No,No,Yes,3,Yes,69,64,3,0,Placed
Female,State,39.4,State,43.9,Computer Science,4.2,Yes,No,Yes,Yes,2,Yes,14,30,2,1,Not Placed
